Brand Name	Product Name	Category	Average Rating	Number of Reviews
Fresh	Fresh Sugar Lemon Sugarbath®	Bath-and-Body-Soap	3.7556	45
philosophy	"philosophy Loveswept Shampoo, Bath & Shower Gel"	Bath-and-Body-Soap	4.2778	18
Atelier Cologne	Atelier Cologne Pomelo Paradis Body And Hair Shower Gel	Bath-and-Body-Soap	5	1
Tata Harper	Tata Harper Smoothing Body Scrub	Bath-and-Body-Soap	3	3
REN	REN Moroccan Rose Otto Sugar Body Polish	Bath-and-Body-Soap	0	0
TOCCA	TOCCA Giulietta Bagno Profumato Body Wash	Bath-and-Body-Soap	4.4375	16
Fresh	Fresh Citron de Vigne Oval Soap	Bath-and-Body-Soap	4.3182	66
Origins	Origins Warm Down™ Warming Lava Scrub to Detox and Smooth	Bath-and-Body-Soap	4.0769	13
philosophy	"philosophy Falling In Love Shampoo, Bath & Shower Gel"	Bath-and-Body-Soap	4.561	205
LAVANILA	LAVANILA Sport Luxe Healthy Body Wash 3-in-1	Bath-and-Body-Soap	4.2	5
Laura Mercier	Laura Mercier Fresh Fig Honey Bath	Bath-and-Body-Soap	4.3333	9
TOCCA	TOCCA Florence Body Wash	Bath-and-Body-Soap	3.625	8
Dior	Dior Miss Dior Foaming Shower Gel	Bath-and-Body-Soap	3.6667	3
Dior	Dior J’adore Soap	Bath-and-Body-Soap	4.5	14
James Read	James Read Tan Perfecting Enzyme Peel Mask	Bath-and-Body-Soap	4.6667	3
Origins	Origins Ginger Burst™ Savory Body Wash	Bath-and-Body-Soap	3.8947	19
L’Occitane	L’Occitane Ultra Rich Body Scrub	Bath-and-Body-Soap	4.25	12
Origins	Origins A Perfect World™ Creamy Body Cleanser With White Tea	Bath-and-Body-Soap	3.75	4
Fresh	Fresh Fresh Life Oval Soap	Bath-and-Body-Soap	3.6	10
AERIN	AERIN Rose Body Wash	Bath-and-Body-Soap	2	0
NEST	NEST Sicilian Tangerine Liquid Hand Soap	Bath-and-Body-Soap	5	2
TOCCA	TOCCA Cleopatra Nourishing Body Scrub	Bath-and-Body-Soap	3.8571	7
Fresh	Fresh Waterlily Oval Soap	Bath-and-Body-Soap	4.5758	33
NEST	NEST Bamboo Liquid Hand Soap	Bath-and-Body-Soap	3.75	4
TOCCA	TOCCA Cleopatra Bagno Profumato Body Wash	Bath-and-Body-Soap	3.8571	7
TOM FORD	TOM FORD Oud Wood Shower Gel	Bath-and-Body-Soap	4	1
CLEAN	CLEAN Warm Cotton Shower Gel	Bath-and-Body-Soap	3.6667	3
CLEAN	CLEAN Rain Shower Gel	Bath-and-Body-Soap	4.4	5
TOCCA	TOCCA Sapone Da Mano Florence Hand Soap	Bath-and-Body-Soap	0	0
AHAVA	AHAVA Liquid Dead Sea Salt	Bath-and-Body-Soap	5	3
TOM FORD	TOM FORD Jasmin Rouge Soap	Bath-and-Body-Soap	4.25	4
Fresh	Fresh Cocoa Exfoliating Body Soap	Bath-and-Body-Soap	3.9167	36
Fresh	Fresh Sugar Oval Soap	Bath-and-Body-Soap	4.4485	136
Fresh	Fresh Patchouli Oval Soap	Bath-and-Body-Soap	4.4043	47
Giorgio Armani Beauty	Giorgio Armani Beauty Acqua Di Gio All-Over Body Shampoo	Bath-and-Body-Soap	0	0
Fresh	Fresh Mangosteen Oval Soap	Bath-and-Body-Soap	4.4706	51
Tory Burch	Tory Burch Tory Burch Shower Gel	Bath-and-Body-Soap	4.5	6
Mugler	Mugler Alien Radiant Shower Gel	Bath-and-Body-Soap	4	2
Miu Miu	Miu Miu MIU MIU Shower Gel	Bath-and-Body-Soap	4	2
AHAVA	AHAVA Mineral Bath Salt	Bath-and-Body-Soap	5	2
Fresh	Fresh Freesia Oval Soap	Bath-and-Body-Soap	4.4615	13
LAVANILA	LAVANILA Vanilla Bean Creamy Body Scrub	Bath-and-Body-Soap	4.25	4
philosophy	"philosophy French Vanilla Bean Shampoo, Shower Gel & Bubble Bath"	Bath-and-Body-Soap	4.425	40
Anthony	Anthony Blue Sea Kelp Body Scrub	Bath-and-Body-Soap	5	2
L’Occitane	L’Occitane Cedrat Shower Gel	Bath-and-Body-Soap	5	1
L’Occitane	L’Occitane Cherry Blossom Bath & Shower Gel	Bath-and-Body-Soap	4.5	10
REN	REN Seaweed and Sage Body Wash	Bath-and-Body-Soap	3.6667	3
NEST	NEST Cashmere Suede Liquid Soap	Bath-and-Body-Soap	5	2
TOCCA	TOCCA Stella Bagno Profumato Body Wash	Bath-and-Body-Soap	4.2857	7
Bliss	Bliss Super Minty Soap’n Scrub	Bath-and-Body-Soap	3	2
TOCCA	TOCCA Cleopatra Sapone Da Mano Liquid Hand Soap	Bath-and-Body-Soap	3	2
CLEAN	CLEAN Cool Cotton Shower Gel	Bath-and-Body-Soap	3	2
This Works	This Works Deep Sleep Bath Soak	Bath-and-Body-Soap	0	0
Bliss	Bliss Blood Orange + White Pepper Soapy Suds Body Wash + Bubbling Bath	Bath-and-Body-Soap	4.4167	96
Fresh	Fresh Verbena Oval Soap	Bath-and-Body-Soap	4.4	15
Anthony	Anthony Invigorating Rush Hair + Body Wash	Bath-and-Body-Soap	0	0
First Aid Beauty	First Aid Beauty Buff & Glow Duo	Bath-and-Body-Soap	2.5	8
AHAVA	AHAVA Softening Butter Salt Scrub	Bath-and-Body-Soap	1	0
CLEAN	CLEAN Warm Cotton Nourishing Hand Soap	Bath-and-Body-Soap	0	0
kate spade new york	kate spade new york Live Colorfully Shower Cream	Bath-and-Body-Soap	5	1
Consonant	Consonant Organic Body Wash	Bath-and-Body-Soap	4.8333	6
Fresh	Fresh Sugar Lychee Soap	Bath-and-Body-Soap	4.0351	57
kate spade new york	kate spade new york Walk On Air Shower Gel	Bath-and-Body-Soap	4	1
Carven	Carven L’Eau de Toilette Shower Gel	Bath-and-Body-Soap	5	1
AHAVA	AHAVA Moisturizing Salt Soap	Bath-and-Body-Soap	0	0
Anthony	Anthony Blue Sea Kelp Body Scrub	Bath-and-Body-Soap	4	1
NEST	NEST Orange Blossom Liquid Hand Soap	Bath-and-Body-Soap	2.5	2
Anthony	Anthony Invigorating Rush Hair + Body Wash	Bath-and-Body-Soap	5	1
Atelier Cologne	Atelier Cologne Orange Sanguine Moisturizing Body & Hair Shower Gel	Bath-and-Body-Soap	3	4
NEST	NEST Sahara Spice Liquid Soap	Bath-and-Body-Soap	0	0
Bliss	Bliss Rosemary and Eucalyptus Hot Salt Scrub	Bath-and-Body-Soap	4.6667	3
Marc Jacobs Fragrances	Marc Jacobs Fragrances Decadence Sensual Shower Gel	Bath-and-Body-Soap	4.5	4
TOCCA	TOCCA Giulietta Nourishing Body Scrub	Bath-and-Body-Soap	4.5	4
NEST	NEST Moss & Mint Liquid Hand Soap	Bath-and-Body-Soap	5	3
Origins	Origins Modern Friction™ for the Body Nature’s Gentle Dermabrasion	Bath-and-Body-Soap	4.1818	11
AHAVA	AHAVA Purifying Mud Soap	Bath-and-Body-Soap	4	1
Fresh	Fresh Body Spatula	Bath-and-Body-Soap	3.25	4
CLEAN	CLEAN Skin Shower Gel	Bath-and-Body-Soap	3.8333	6
TOM FORD	TOM FORD Neroli Portofino Shower Gel	Bath-and-Body-Soap	3.1	10
Atelier Cologne	Atelier Cologne Scented Soap- Bergamote Soleil	Bath-and-Body-Soap	0	0
TOCCA	TOCCA Stella Sapone Da Mano Liquid Hand Soap	Bath-and-Body-Soap	5	2
NEST	NEST Blue Garden Liquid Hand Soap	Bath-and-Body-Soap	3	0
Consonant	Consonant Skin Perfecting Body Scrub	Bath-and-Body-Soap	4	7
Shiseido	Shiseido Honey Cake Green Soap	Bath-and-Body-Soap	3.6667	18
Biotherm	Biotherm Aquathermale Invigorating Body Wash	Bath-and-Body-Soap	5	1
Laura Mercier	Laura Mercier Fresh Fig Wash	Bath-and-Body-Soap	5	3
AHAVA	AHAVA Mineral Shower Gel	Bath-and-Body-Soap	5	1
Giorgio Armani Beauty	Giorgio Armani Beauty Sì Perfumed Shower Gel	Bath-and-Body-Soap	5	1
Mugler	Mugler Angel Perfuming Shower Gel	Bath-and-Body-Soap	4.6667	3
Fresh	Fresh Linden Soap	Bath-and-Body-Soap	4.5333	15
Guerlain	Guerlain La Petite Robe Noire Shower Gel	Bath-and-Body-Soap	4.5	2
TOCCA	TOCCA Stella Nourishing Body Scrub	Bath-and-Body-Soap	4.5	2
Kate Somerville	Kate Somerville Exfolikate Body	Bath-and-Body-Soap	4.4	5
NEST	NEST Japanese Black Currant Liquid Soap	Bath-and-Body-Soap	4.3333	3
philosophy	"philosophy Live Joyously Shampoo, Bath & Shower Gel"	Bath-and-Body-Soap	4.1818	11
philosophy	"philosophy Pink Frosted Animal Cracker Shampoo, Shower Gel & Bubble Bath"	Bath-and-Body-Soap	4.1558	77
Carven	Carven Carven Le Parfum Gel parfumé pour le bain et la douche	Bath-and-Body-Soap	4	1
Bliss	Bliss Lemon+Sage Soapy Suds Body Wash + Bubbling Bath	Bath-and-Body-Soap	4	2
Pink Sugar	Pink Sugar Pink Sugar Shower Gel	Bath-and-Body-Soap	3.6667	3
Acqua Di Parma	Acqua Di Parma Colonia Bath and Shower Gel	Bath-and-Body-Soap	3	6
Chloé	Chloé Love Story Shower Gel	Bath-and-Body-Soap	3	1
AHAVA	AHAVA Natural Dead Sea Mud	Bath-and-Body-Soap	3	1
TOCCA	TOCCA Florence Esfoliante da Corpo - Nourishing Body Scrub	Bath-and-Body-Soap	1	1
REN	REN Neroli and Grapefruit Body Wash	Bath-and-Body-Soap	1	1
Giorgio Armani Beauty	Giorgio Armani Beauty Armani Code All-Over Body Shampoo	Bath-and-Body-Soap	0	0
Giorgio Armani Beauty	Giorgio Armani Beauty Armani Code Satin Shower Gel	Bath-and-Body-Soap	0	0
Bliss	Bliss FatGirlScrub	Bath-and-Body-Soap	0	0
Biotherm	Biotherm Lait De Douche Cleansing Shower Milk with Citrus Essences	Bath-and-Body-Soap	0	0
AHAVA	AHAVA Mineral Botanic Velvet Cream Wash	Bath-and-Body-Soap	0	0
AHAVA	AHAVA Mineral Shower Gel for Men	Bath-and-Body-Soap	0	0
BURBERRY	BURBERRY Mr. Burberry Body Wash	Bath-and-Body-Soap	0	0
AERIN	AERIN Rose Body Scrub	Bath-and-Body-Soap	0	0
AHAVA	AHAVA Smoothing Body Exfoliator	Bath-and-Body-Soap	0	0
DOLCE&GABBANA	DOLCE&GABBANA The One Shower Gel	Bath-and-Body-Soap	0	0
Phyto	Phyto Phytophanère Hair And Nails Dietary Supplement	Beauty-Supplements-Bath-Body	4.1773	1196
DECIEM	DECIEM Fountain The Hyaluronic Molecule	Beauty-Supplements-Bath-Body	3.6	5
DECIEM	DECIEM Fountain The Phyto-Collagen Molecule	Beauty-Supplements-Bath-Body	3.6667	3
Keranique	Keranique Daily Essential Supplements	Beauty-Supplements-Bath-Body	0	0
Foreo	Foreo LUNA™ mini 2	Body-Care-Tools	4.6371	350
Clarisonic	Clarisonic Smart Profile Face and Body Uplift Set	Body-Care-Tools	4.875	8
Clarisonic	Clarisonic Replacement Brush Head Twin-Pack	Body-Care-Tools	4.7245	657
Clarisonic	Clarisonic Mia 2™ Skin Cleansing System	Body-Care-Tools	4.6839	1240
Clarisonic	Clarisonic Mia 1™ Skin Cleansing System	Body-Care-Tools	4.5895	1530
Clarisonic	Clarisonic Replacement Facial Brush Head	Body-Care-Tools	4.6491	855
GLO Science	GLO Science GLO Brilliant™ Teeth Whitening Device	Body-Care-Tools	4.0811	407
Foreo	Foreo LUNA™ 2 for Combination Skin	Body-Care-Tools	4.7937	63
DERMAFLASH	DERMAFLASH DERMAFLASH Facial Exfoliating Device	Body-Care-Tools	4.1902	163
